date,temperature,humidity,luminosity
2020-12-03 16:09:36.711,17.6,16.8,119
2020-12-03 16:09:34.438,17.6,16.8,117
2020-12-03 16:09:32.161,17.6,16.8,117
2020-12-03 16:09:29.883,17.6,16.8,117
2020-12-03 16:09:27.606,17.6,16.8,117
2020-12-03 16:09:25.333,17.6,16.8,116
2020-12-03 16:09:23.056,17.6,16.8,116
2020-12-03 16:09:20.778,17.6,16.8,115
2020-12-03 16:09:18.501,17.6,16.8,116
2020-12-03 16:09:16.228,17.6,16.8,117
2020-12-03 16:09:13.950,17.6,16.8,117
2020-12-03 16:09:11.673,17.6,16.8,116
2020-12-03 16:09:09.396,17.6,16.8,114
2020-12-03 16:09:07.123,17.6,16.8,113
2020-12-03 16:09:04.845,17.6,16.8,111
2020-12-03 16:09:02.568,17.6,16.8,108
2020-12-03 16:09:00.291,17.6,16.8,102
2020-12-03 16:08:58.013,17.6,16.8,94
2020-12-03 16:08:55.740,17.6,16.8,82
2020-12-03 16:08:53.463,17.6,16.8,68
2020-12-03 16:08:51.186,17.6,16.8,52
2020-12-03 16:08:48.908,17.6,16.8,36
2020-12-03 16:08:46.635,17.6,16.8,17
2020-12-03 16:05:35.395,17.5,18.1,116
2020-12-03 16:05:33.117,17.5,18.1,117
2020-12-03 16:05:30.840,17.5,18.1,117
2020-12-03 16:05:28.563,17.5,18.1,117
2020-12-03 16:05:26.285,17.5,18.1,116
2020-12-03 16:05:24.012,17.5,18.0,115
2020-12-03 16:05:21.735,17.4,18.0,124
2020-12-03 16:05:19.457,17.4,17.9,117
2020-12-03 16:05:17.180,17.4,17.9,117
2020-12-03 16:05:14.903,17.4,17.8,117
2020-12-03 16:05:12.630,17.4,17.8,117
2020-12-03 16:05:10.352,17.4,17.7,117
2020-12-03 16:05:08.075,17.3,17.7,117
2020-12-03 16:05:05.798,17.3,17.6,117
2020-12-03 16:05:03.520,17.3,17.6,117
2020-12-03 16:05:01.247,17.3,17.6,117
2020-12-03 16:04:58.970,17.3,17.5,117
2020-12-03 16:04:56.693,17.3,17.4,118
2020-12-03 16:04:54.416,17.3,17.4,118
2020-12-03 16:04:52.138,17.3,17.3,117
2020-12-03 16:04:49.865,17.3,17.3,117
2020-12-03 16:04:47.588,17.3,17.2,117
2020-12-03 16:04:45.310,17.2,17.2,117
2020-12-03 16:04:43.033,17.3,17.2,117
2020-12-03 16:04:40.756,17.2,17.2,117
2020-12-03 16:04:38.483,17.3,17.3,117
2020-12-03 16:04:36.205,17.3,17.3,117
2020-12-03 16:04:33.928,17.3,17.3,117
2020-12-03 16:04:31.651,17.3,17.3,116
2020-12-03 16:04:29.373,17.3,17.3,116
2020-12-03 16:04:27.100,17.3,17.3,116
2020-12-03 16:04:24.823,17.2,17.2,116
2020-12-03 16:04:22.546,17.3,17.3,116
2020-12-03 16:04:20.268,17.3,17.3,116
2020-12-03 16:04:17.991,17.3,17.3,116
2020-12-03 16:04:15.718,17.3,17.3,115
2020-12-03 16:04:13.440,17.3,17.3,113
2020-12-03 16:04:11.163,17.3,17.3,117
2020-12-03 16:04:08.886,17.3,17.3,117
2020-12-03 16:04:06.609,17.3,17.3,117
2020-12-03 16:04:04.335,17.3,17.4,117
2020-12-03 16:04:02.058,17.3,17.4,117
2020-12-03 16:03:59.781,17.3,17.4,118
2020-12-03 16:03:57.503,17.3,17.4,118
2020-12-03 16:03:55.226,17.3,17.5,119
2020-12-03 16:03:52.949,17.3,17.5,118
2020-12-03 16:03:50.675,17.3,17.5,118
2020-12-03 16:03:48.398,17.3,17.5,116
2020-12-03 16:03:46.121,17.3,17.6,117
2020-12-03 16:03:43.843,17.3,17.6,118
2020-12-03 16:03:41.566,17.3,17.6,117
2020-12-03 16:03:39.293,17.2,17.6,117
2020-12-03 16:03:37.016,17.3,17.6,117
2020-12-03 16:03:34.738,17.3,17.7,117
2020-12-03 16:03:32.461,17.2,17.6,117
2020-12-03 16:03:30.188,17.3,17.7,117
2020-12-03 16:03:27.910,17.2,17.6,118
2020-12-03 16:03:25.633,17.2,17.6,117
2020-12-03 16:03:23.356,17.2,17.7,117
2020-12-03 16:03:21.079,17.2,17.7,117
2020-12-03 16:03:18.805,17.2,17.7,116
2020-12-03 16:03:16.528,17.2,17.7,116
2020-12-03 16:03:14.251,17.2,17.8,117
2020-12-03 16:03:11.973,17.2,17.8,117
2020-12-03 16:03:09.696,17.2,17.8,117
2020-12-03 16:03:07.423,17.2,17.8,116
2020-12-03 16:03:05.146,17.2,17.9,118
2020-12-03 16:03:02.868,17.2,17.9,118
2020-12-03 16:03:00.591,17.2,17.9,117
2020-12-03 16:02:58.314,17.1,18.0,117
2020-12-03 16:02:56.040,17.2,18.0,118
2020-12-03 16:02:53.763,17.1,18.0,117
2020-12-03 16:02:51.485,17.2,17.9,118
2020-12-03 16:02:49.208,17.1,17.9,119
2020-12-03 16:02:46.931,17.1,17.8,121
2020-12-03 16:02:44.658,17.1,17.7,115
2020-12-03 16:02:42.380,17.2,17.6,116
2020-12-03 16:02:40.103,17.1,17.6,116
2020-12-03 16:02:37.826,17.2,17.6,116
2020-12-03 16:02:35.548,17.1,17.7,117
2020-12-03 16:02:33.275,17.1,17.7,118
2020-12-03 16:02:30.998,17.2,17.7,115
2020-12-03 16:02:28.721,17.1,17.7,114
2020-12-03 16:02:26.443,17.2,17.7,117
2020-12-03 16:02:24.166,17.1,17.7,115
2020-12-03 16:02:21.893,17.1,17.7,116
2020-12-03 16:02:19.615,17.1,17.7,116
2020-12-03 16:02:17.338,17.1,17.7,117
2020-12-03 16:02:15.061,17.1,17.8,117
2020-12-03 16:02:12.783,17.1,17.8,116
2020-12-03 16:02:10.510,17.0,17.8,116
2020-12-03 16:02:08.233,17.0,17.8,117
2020-12-03 16:02:05.956,17.0,17.7,116
2020-12-03 16:02:03.678,17.0,17.7,120
2020-12-03 16:02:01.405,17.0,17.7,116
2020-12-03 16:01:59.128,17.0,17.6,117
2020-12-03 16:01:56.850,17.0,17.6,116
2020-12-03 16:01:54.573,17.0,17.5,116
2020-12-03 16:01:52.296,16.9,17.5,116
2020-12-03 16:01:50.022,17.0,17.4,116
2020-12-03 16:01:47.745,16.9,17.4,115
2020-12-03 16:01:45.468,16.9,17.4,116
2020-12-03 16:01:43.190,16.9,17.4,117
2020-12-03 16:01:40.913,16.9,17.4,117
2020-12-03 16:01:38.640,16.9,17.4,118
2020-12-03 16:01:36.363,16.9,17.3,118
2020-12-03 16:01:34.085,16.9,17.3,121
2020-12-03 16:01:31.808,16.9,17.3,116
2020-12-03 16:01:29.531,16.9,17.3,116
2020-12-03 16:01:27.257,16.9,17.3,115
2020-12-03 16:01:24.980,16.9,17.4,114
2020-12-03 16:01:22.703,16.9,17.4,117
2020-12-03 16:01:20.426,16.9,17.4,117
2020-12-03 16:01:18.148,16.9,17.4,117
2020-12-03 16:01:15.875,16.9,17.4,117
2020-12-03 16:01:13.598,16.9,17.5,117
2020-12-03 16:01:11.320,16.9,17.5,117
2020-12-03 16:01:09.043,16.9,17.4,117
2020-12-03 16:01:06.766,16.9,17.4,117
2020-12-03 16:01:04.492,16.9,17.4,118
2020-12-03 16:01:02.215,16.9,17.4,121
2020-12-03 16:00:59.938,16.9,17.4,117
2020-12-03 16:00:57.661,16.9,17.4,116
2020-12-03 16:00:55.383,16.9,17.4,116
2020-12-03 16:00:53.111,16.9,17.4,115
2020-12-03 16:00:50.834,16.9,17.4,114
2020-12-03 16:00:48.556,16.9,17.4,116
2020-12-03 16:00:46.279,16.9,17.4,118
2020-12-03 16:00:44.002,16.9,17.4,114
2020-12-03 16:00:41.728,16.9,17.4,116
2020-12-03 16:00:39.451,16.9,17.4,117
2020-12-03 16:00:37.174,16.9,17.4,116
2020-12-03 16:00:34.897,16.9,17.4,117
2020-12-03 16:00:32.619,16.9,17.4,117
2020-12-03 16:00:30.346,16.9,17.4,116
2020-12-03 16:00:28.069,16.9,17.4,117
2020-12-03 16:00:25.791,16.9,17.4,118
2020-12-03 16:00:23.514,16.9,17.4,119
2020-12-03 16:00:21.237,16.9,17.4,116
2020-12-03 16:00:18.964,16.9,17.5,117
2020-12-03 16:00:16.686,16.9,17.5,116
2020-12-03 16:00:14.409,16.9,17.5,117
2020-12-03 16:00:12.132,16.9,17.5,117
2020-12-03 16:00:09.854,16.9,17.6,117
2020-12-03 16:00:07.581,16.9,17.6,118
2020-12-03 16:00:05.304,16.9,17.6,116
2020-12-03 16:00:03.026,16.9,17.7,115
2020-12-03 16:00:00.749,16.9,17.7,116
2020-12-03 15:59:58.476,16.9,17.8,117
2020-12-03 15:59:56.199,16.9,17.8,118
2020-12-03 15:59:53.921,16.9,17.9,118
2020-12-03 15:59:51.644,16.9,17.9,118
2020-12-03 15:59:49.367,16.8,17.9,116
2020-12-03 15:59:47.093,16.8,17.9,117
2020-12-03 15:59:44.816,16.8,18.0,115
2020-12-03 15:59:42.539,16.8,18.0,114
2020-12-03 15:59:40.262,16.8,18.0,112
2020-12-03 15:59:37.984,16.8,18.0,118
2020-12-03 15:59:35.711,16.7,18.0,116
2020-12-03 15:59:33.434,16.7,18.0,116
2020-12-03 15:59:31.156,16.7,18.0,116
2020-12-03 15:59:28.879,16.7,17.9,122
2020-12-03 15:59:26.606,16.7,17.9,136
2020-12-03 15:59:24.328,16.7,17.9,122
2020-12-03 15:59:22.051,16.7,17.8,135
2020-12-03 15:59:19.774,16.6,17.7,116
2020-12-03 15:59:17.497,16.6,17.6,116
2020-12-03 15:59:15.223,16.6,17.6,115
2020-12-03 15:59:12.946,16.6,17.5,115
2020-12-03 15:59:10.669,16.6,17.5,114
2020-12-03 15:59:08.391,16.6,17.4,116
2020-12-03 15:59:06.114,16.6,17.4,116
2020-12-03 15:59:03.841,16.5,17.4,115
2020-12-03 15:59:01.564,16.6,17.3,117
2020-12-03 15:58:59.286,16.5,17.3,117
2020-12-03 15:58:57.009,16.5,17.3,117
2020-12-03 15:58:54.732,16.5,17.3,118
2020-12-03 15:58:52.458,16.5,17.2,118
2020-12-03 15:58:50.181,16.5,17.2,121
2020-12-03 15:58:47.903,16.5,17.2,117
2020-12-03 15:58:45.626,16.5,17.2,117
2020-12-03 15:58:43.353,16.5,17.2,117
2020-12-03 15:58:41.076,16.5,17.1,117
2020-12-03 15:58:38.798,16.5,17.1,115
2020-12-03 15:58:36.521,16.5,17.1,117
2020-12-03 15:58:34.248,16.5,17.1,116
2020-12-03 15:58:31.970,16.5,17.2,118
2020-12-03 15:58:29.693,16.5,17.1,117
2020-12-03 15:58:27.416,16.5,17.1,116
2020-12-03 15:58:25.139,16.5,17.1,116
2020-12-03 15:58:22.865,16.5,17.1,117
2020-12-03 15:58:20.588,16.5,17.1,117
2020-12-03 15:58:18.311,16.5,17.1,116
